Topic,Word,Score
19,station,0.028221572678401415
19,japanese,0.02442962665943473
19,japan,0.023646227733851957
19,ginza,0.023097496289590687
19,room,0.020353698211716488
19,train,0.018399653633551935
19,stay,0.015702116256893082
20,madrid,0.08945035536279987
20,hotel,0.02582463412390648
20,room,0.022809712629551726
20,plaza,0.021113802479842014
20,location,0.02083810788512994
20,sol,0.01831686062334173
20,good,0.01780048469323196
20,great,0.016577270827457163
20,stay,0.01585908621354714
20,mayor,0.015618048179534268
21,beijing,0.06842544211454217
21,hotel,0.02739836929298003
21,china,0.025828224019670314
21,chinese,0.024311340476594518
21,taxi,0.018176086010479812
21,forbid,0.01811365775383073
21,good,0.01789904957254751
21,room,0.01759483110710422
21,stay,0.01600183177980645
21,city,0.01582979311789842
22,riu,0.06522534074981688
22,bambu,0.03118607317456802
22,palace,0.027847958229981047
22,beach,0.023164976038586242
22,resort,0.016356600541762554
22,food,0.015753008393459642
22,pool,0.015504561850220522
22,not,0.015201512226694497
22,day,0.014625880858533283
22,people,0.013703524055999155
23,miami,0.07046744208944188
23,beach,0.027863968639460352
23,hotel,0.026472411196941596
23,south,0.024548216270155822
23,room,0.018491145718069587
23,stay,0.018290910183073508
23,pool,0.01815177917621516
23,shuttle,0.016464402051772863
23,service,0.016095476809634655
23,cruise,0.015044122950487493
24,majestic,0.07261812171178489
24,colonial,0.030703834976677065
24,resort,0.020329356085662362
24,beach,0.020068004140143057
24,food,0.0170799350642752
24,pool,0.01590776175036976
24,not,0.014502263698069588
24,good,0.014145586492678384
24,time,0.013030467291116338
24,room,0.01298886575889765
25,toronto,0.0690481285322951
25,suite,0.028265255558132304
25,cambridge,0.022384270670115284
25,hotel,0.02184186759014113
25,stay,0.021136937190238958
25,eaton,0.01975503005121332
25,great,0.019744252533354094
25,room,0.01862825278669471
25,subway,0.014178917001967845
25,centre,0.014144986983025297
26,sofitel,0.15488249035302118
26,york,0.03113834566188442
26,room,0.024870867277957762
26,stay,0.02428082179572495
26,hotel,0.024253395042844877
26,nyc,0.022791505524304614
26,new,0.02176737361159385
26,service,0.018266054175848378
26,location,0.017071769178345367
26,great,0.016873576244189916
27,melia,0.05006307395408462
27,caribe,0.03052053580987504
27,resort,0.023707616690260398
27,beach,0.0216009417375263
27,tropical,0.021052765581040175
27,pool,0.016768618961794466
27,food,0.01547821599122291
27,time,0.015433259085806719
27,day,0.015081813592543514
27,not,0.014561756673506716
28,frankfurt,0.09588828087625513
28,hotel,0.029916268787858108
28,airport,0.01894805451149129
28,room,0.01795102535777402
28,station,0.01743881012913909
28,train,0.017191939418376323
28,good,0.015692636490922045
28,breakfast,0.015458785849520281
28,stay,0.0152946752437754
28,city,0.014745572250774238
29,argonaut,0.10596035969023128
29,wharf,0.04130382564671728
29,fisherman,0.03268416713014045
29,alcatraz,0.03227142882155816
29,car,0.02739531143580592
29,cable,0.02512099185526357
29,nautical,0.02240865660581322
29,francisco,0.02048918548225956
29,san,0.020440810762514326
29,view,0.01937943219030708
30,affinia,0.11457138800510837
30,dumont,0.060552650954326194
30,50,0.039820435336196336
30,nyc,0.025628165633771863
30,york,0.024483530139257904
30,stay,0.023613270594623877
30,great,0.023469647174263763
30,room,0.020582286713686983
30,hotel,0.020384797266126412
30,kitchen,0.018882707451257502
31,hollywood,0.08748754543694527
31,beverly,0.029918437689394683
31,renaissance,0.02685912939183883
31,hotel,0.024494370008372263
31,elan,0.0204893829076854
31,stay,0.02008865346211913
31,great,0.018438733185085786
31,room,0.017256805816029397
31,area,0.016749805925902778
31,drive,0.01512555214717155
32,westin,0.11392807274805931
32,square,0.029726253092314404
32,times,0.027495310868815924
32,heavenly,0.027323513830774367
32,york,0.023722886211497134
32,room,0.02360618936368034
32,bed,0.021405880514593717
32,new,0.02023951305971443
32,stay,0.019882950835477267
32,hotel,0.019329462569769442
33,mexico,0.08341873218960968
33,city,0.04993437210613831
33,hotel,0.024871476313549492
33,zona,0.023056104200450695
33,reforma,0.023056104200450695
33,zocalo,0.02201902991279592
33,rosa,0.01977123265400725
33,polanco,0.018977631554441196
33,stay,0.01774779626636788
33,good,0.017308617620747157
34,casablanca,0.1375618670623626
34,wine,0.03697381353529624
34,rick,0.03687791821733006
34,york,0.03683605276263197
34,cheese,0.03612281576124712
34,square,0.032624871132436346
34,hotel,0.025258480613034182
34,new,0.024834494388624104
34,stay,0.02261369457184044
34,staff,0.021254870144487008
35,paradisus,0.06592947203700651
35,resort,0.0284828403850661
35,beach,0.020600973400854435
35,service,0.019618705099895384
35,royal,0.019382777145263905
35,food,0.018016927695957266
35,pool,0.017343552162105723
35,time,0.017205499770740443
35,restaurant,0.015647700568239976
35,day,0.015173091548097652
